Kabupaten/Kota,Terkonfirmasi,Meninggal
KAB. PACITAN,710,100
KAB. MOJOKERTO,1745,108
KAB. SUMENEP,3061,72
KAB. NGAWI,2658,184
KAB. KEDIRI,5648,355
KAB. SIDOARJO,1483,631
KAB. BOJONEGORO,6516,671
KAB. GRESIK,3668,309
KOTA MADIUN,1412,144
KAB. BANYUWANGI,4800,519
KOTA SURABAYA,3368,219
KAB. PONOROGO,3045,268
KOTA KEDIRI,2845,172
KAB. LUMAJANG,7022,480
AWAK BUAH KAPAL,3740,232
KOTA BLITAR,4138,415
KAB. JOMBANG,2140,374
KAB. MAGETAN,4140,390
KAB. PAMEKASAN,2696,178
KAB. TULUNGAGUNG,2556,200
KAB. PASURUAN,2645,115
KAB. BLITAR,2173,156
KOTA BATU,3909,370
KAB. TRENGGALEK,6709,625
KAB. NGANJUK,1745,178
KAB. LAMONGAN,3261,65
KAB. SITUBONDO,4869,475
KOTA MOJOKERTO,2356,226
KAB. PROBOLINGGO,3212,193
KAB. BONDOWOSO,3793,301
KAB. MADIUN,5774,656
KAB. SAMPANG,2619,139
KOTA PASURUAN,2473,72
KOTA PROBOLINGGO,1170,90
KOTA MALANG,2286,155
KAB. TUBAN,917,43
KAB. BANGKALAN,1509,138
KAB. MALANG,1627,173
KAB. JEMBER,3758,415
